Insee - Statistiques locales; ; 
Référentiel géographique : France par commune; ; 
Code;Libellé;Population municipale 2021
02554;Nogentel;1108
02555;Nogent-l'Artaud;2098
02556;Noircourt;73
02557;Noroy-sur-Ourcq;128
02558;Le Nouvion-en-Thiérache;2505
02559;Nouvion-et-Catillon;503
02560;Nouvion-le-Comte;243
02561;Nouvion-le-Vineux;145
02562;Nouvron-Vingré;201
02563;Noyales;153
02564;Bernoy-le-Château;855
02565;Œuilly;294
02566;Ognes;1108
02567;Ohis;272
02568;Oigny-en-Valois;168
02569;Oisy;481
02570;Ollezy;173
02571;Omissy;704
02572;Orainville;501
02573;Orgeval;55
02574;Origny-en-Thiérache;1382
02575;Origny-Sainte-Benoite;1638
02576;Osly-Courtil;325
02577;Ostel;91
02578;Oulches-la-Vallée-Foulon;84
02579;Oulchy-la-Ville;124
02580;Oulchy-le-Château;814
02581;Paars;317
02582;Paissy;78
02583;Pancy-Courtecon;53
02584;Papleux;116
02585;Parcy-et-Tigny;251
02586;Parfondeval;139
02587;Parfondru;352
02588;Pargnan;66
02589;Pargny-Filain;255
02590;Pargny-la-Dhuys;171
02591;Pargny-les-Bois;138
02592;Parpeville;192
02593;Pasly;1063
02594;Passy-en-Valois;126
02595;Passy-sur-Marne;138
02596;Pavant;756
02598;Pernant;681
02599;Pierremande;251
02600;Pierrepont;330
02601;Pignicourt;182
02602;Pinon;1655
02604;Pithon;80
02605;Pleine-Selve;191
02606;Le Plessier-Huleu;77
02607;Ploisy;91
02608;Plomion;461
02609;Ployart-et-Vaurseine;22
02610;Pommiers;750
02612;Pont-Arcy;121
02613;Pontavert;602
02614;Pontru;276
02615;Pontruet;355
02616;Pont-Saint-Mard;194
02617;Pouilly-sur-Serre;501
02618;Prémont;688
02619;Prémontré;617
02620;Presles-et-Boves;334
02621;Presles-et-Thierny;393
02622;Priez;56
02623;Prisces;95
02624;Proisy;273
02625;Proix;143
02626;Prouvais;337
02627;Proviseux-et-Plesnoy;130
02628;Puiseux-en-Retz;215
02629;Puisieux-et-Clanlieu;323
02631;Quierzy;409
02632;Quincy-Basse;55
02633;Quincy-sous-le-Mont;61
02634;Raillimont;89
02635;Ramicourt;147
02636;Regny;198
02637;Remaucourt;290
02638;Remies;239
02639;Remigny;344
02640;Renansart;153
02641;Renneval;119
02642;Résigny;163
